# EDGA: state=0 mode=genetic completeness=0.9900075036 n_det=11857 gen=27
  -0.518753925297355  4444411111  |0 1 2 3 4  |0 1 2 3 4 
   0.246489595130581  1444441111  |1 2 3 4 5  |1 2 3 4 5 
   0.246489544090350  4444111114  |0 1 2 3 9  |0 1 2 3 9 
   0.237303905353601  4144414111  |0 2 3 4 6  |0 2 3 4 6 
   0.237303863764884  4441411141  |0 1 2 4 8  |0 1 2 4 8 
   0.236044106790250  4414411411  |0 1 3 4 7  |0 1 3 4 7 
  -0.117096926832282  1444141114  |1 2 3 5 9  |1 2 3 5 9 
  -0.112643979979474  4144114114  |0 2 3 6 9  |0 2 3 6 9 
  -0.112643979787011  1441441141  |1 2 4 5 8  |1 2 4 5 8 
  -0.111550298084481  1414441411  |1 3 4 5 7  |1 3 4 5 7 
  -0.111550274778706  4414111414  |0 1 3 7 9  |0 1 3 7 9 
  -0.109079738040739  1144444111  |2 3 4 5 6  |2 3 4 5 6 
  -0.109079719720542  4441111144  |0 1 2 8 9  |0 1 2 8 9 
  -0.107981786739943  4141414141  |0 2 4 6 8  |0 2 4 6 8 
  -0.104911673246617  4411411441  |0 1 4 7 8  |0 1 4 7 8 
  -0.104911668636060  4114414411  |0 3 4 6 7  |0 3 4 6 7 
  -0.086425564095117  4423411231  |0 1 2 4 7  |0 1 3 4 8 
  -0.086425415251134  4432411321  |0 1 3 4 8  |0 1 2 4 7 
   0.086425326503003  4234412311  |0 1 3 4 6  |0 2 3 4 7 
   0.086425225305360  4324413211  |0 2 3 4 7  |0 1 3 4 6 
   0.083279960194820  4442311123  |0 1 2 3 8  |0 1 2 4 9 
   0.083279839216341  4443211132  |0 1 2 4 9  |0 1 2 3 8 
  -0.083279521414197  2344423111  |0 2 3 4 5  |1 2 3 4 6 
  -0.083279444186236  3244432111  |1 2 3 4 6  |0 2 3 4 5 
   0.052707681013577  1414141414  |1 3 5 7 9  |1 3 5 7 9 
   0.051769312392675  1144144114  |2 3 5 6 9  |2 3 5 6 9 
   0.051769310957979  1441141144  |1 2 5 8 9  |1 2 5 8 9 
   0.049590071361661  4141114144  |0 2 6 8 9  |0 2 6 8 9 
   0.049590063912854  1141444141  |2 4 5 6 8  |2 4 5 6 8 
   0.049533656428706  1411441441  |1 4 5 7 8  |1 4 5 7 8 
   0.049533648308539  4114114414  |0 3 6 7 9  |0 3 6 7 9 
   0.047980015064018  4411111444  |0 1 7 8 9  |0 1 7 8 9 
   0.047980010338193  1114444411  |3 4 5 6 7  |3 4 5 6 7 
   0.046373102072484  4111414441  |0 4 6 7 8  |0 4 6 7 8 
   0.045599749646510  4422411331  |0 1 2 3 4  |0 1 4 7 8 
   0.045599749103986  4433411221  |0 1 4 7 8  |0 1 2 3 4 
  -0.045599532878783  4334412211  |0 3 4 6 7  |0 1 2 3 4 
  -0.045599532598791  4224413311  |0 1 2 3 4  |0 3 4 6 7 
  -0.044205478748737  4442211133  |0 1 2 3 4  |0 1 2 8 9 
  -0.044205475106891  4443311122  |0 1 2 8 9  |0 1 2 3 4 
   0.044205274588629  3344422111  |2 3 4 5 6  |0 1 2 3 4 
   0.044205272890059  2244433111  |0 1 2 3 4  |2 3 4 5 6 
   0.040825946476139  4432411231  |0 1 3 4 7  |0 1 2 4 8 
   0.040825945723822  4423411321  |0 1 2 4 8  |0 1 3 4 7 
  -0.040825689359318  4324412311  |0 2 3 4 6  |0 1 3 4 7 
  -0.040825687441832  4234413211  |0 1 3 4 7  |0 2 3 4 6 
   0.040773893538904  1423441231  |1 2 4 5 7  |1 3 4 5 8 
   0.040773823440216  1432441321  |1 3 4 5 8  |1 2 4 5 7 
  -0.040773773742628  4234112314  |0 1 3 6 9  |0 2 3 7 9 
  -0.040773727318076  4324113214  |0 2 3 7 9  |0 1 3 6 9 
  -0.039513842980770  1442341123  |1 2 3 5 8  |1 2 4 5 9 
  -0.039513786236539  1443241132  |1 2 4 5 9  |1 2 3 5 8 
   0.039513637846864  2344123114  |0 2 3 5 9  |1 2 3 6 9 
   0.039513601543886  3244132114  |1 2 3 6 9  |0 2 3 5 9 
   0.039364337770709  4423111234  |0 1 2 7 9  |0 1 3 8 9 
   0.039364270716514  4432111324  |0 1 3 8 9  |0 1 2 7 9 
  -0.039364237694354  1234442311  |1 3 4 5 6  |2 3 4 5 7 
  -0.039364191840880  1324443211  |2 3 4 5 7  |1 3 4 5 6 
  -0.039074467831040  4443211123  |0 1 2 4 8  |0 1 2 3 9 
  -0.039074464793965  4442311132  |0 1 2 3 9  |0 1 2 4 8 
   0.039074210053429  3244423111  |1 2 3 4 5  |0 2 3 4 6 
   0.039074208087166  2344432111  |0 2 3 4 6  |1 2 3 4 5 
  -0.038067724249871  4243412131  |0 1 2 4 6  |0 2 3 4 8 
  -0.038067638264139  4342413121  |0 2 3 4 8  |0 1 2 4 6 
   0.037863906906365  4123414231  |0 2 4 6 7  |0 3 4 6 8 
   0.037863842588541  4132414321  |0 3 4 6 8  |0 2 4 6 7 
  -0.037863786148035  4231412341  |0 1 4 6 8  |0 2 4 7 8 
  -0.037863744110037  4321413241  |0 2 4 7 8  |0 1 4 6 8 
  -0.037807777025479  4142314123  |0 2 3 6 8  |0 2 4 6 9 
  -0.037807722605793  4143214132  |0 2 4 6 9  |0 2 3 6 8 
   0.037807569299072  2341423141  |0 2 4 5 8  |1 2 4 6 8 
   0.037807535732357  3241432141  |1 2 4 6 8  |0 2 4 5 8 
  -0.036293570201963  4412311423  |0 1 3 7 8  |0 1 4 7 9 
  -0.036293517293713  4413211432  |0 1 4 7 9  |0 1 3 7 8 
   0.036293358998121  2314423411  |0 3 4 5 7  |1 3 4 6 7 
   0.036293326470327  3214432411  |1 3 4 6 7  |0 3 4 5 7 
  -0.035308512799382  4424311213  |0 1 2 3 7  |0 1 3 4 9 
  -0.035308429501520  4434211312  |0 1 3 4 9  |0 1 2 3 7 
  -0.035308078289526  2434421311  |0 1 3 4 5  |1 2 3 4 7 
  -0.035308015022391  3424431211  |1 2 3 4 7  |0 1 3 4 5 
   0.031320870063207  4441411123  |0 1 2 4 8  |0 1 2 4 9 
  -0.031320850810697  4441411132  |0 1 2 4 9  |0 1 2 4 8 
  -0.031320827580467  4144423111  |0 2 3 4 5  |0 2 3 4 6 
   0.031320825379825  4144432111  |0 2 3 4 6  |0 2 3 4 5 
   0.029855550272472  4414411231  |0 1 3 4 7  |0 1 3 4 8 
  -0.029855522244830  4414411321  |0 1 3 4 8  |0 1 3 4 7 
   0.029855487562245  4414412311  |0 1 3 4 6  |0 1 3 4 7 
  -0.029855481400302  4414413211  |0 1 3 4 7  |0 1 3 4 6 
   0.029141732016154  4441411231  |0 1 2 4 7  |0 1 2 4 8 
  -0.029141720301414  4441411321  |0 1 2 4 8  |0 1 2 4 7 
   0.029141711128807  4144412311  |0 2 3 4 6  |0 2 3 4 7 
  -0.029141689857253  4144413211  |0 2 3 4 7  |0 2 3 4 6 
   0.028795595268118  4444111123  |0 1 2 3 8  |0 1 2 3 9 
  -0.028795576954232  4444111132  |0 1 2 3 9  |0 1 2 3 8 
  -0.028795559003700  1444423111  |1 2 3 4 5  |1 2 3 4 6 
   0.028795541093140  1444432111  |1 2 3 4 6  |1 2 3 4 5 
