lambda,R_bohr,E_bare_Ha,E_QED_Ha,dE_mHa,n_photon
0.5,1.0,-1.1040748062365304,-0.9895237167411496,114.55108949538084,0.035685601123528865
0.5,1.4,-1.1646077905879306,-1.0299873772209442,134.62041336698638,0.059822016238687874
0.5,2.0,-1.132588396556717,-0.9784612299613075,154.12716659540948,0.10742300670230907
0.5,2.5,-1.089306456224388,-0.9286840735321648,160.62238269222317,0.1268896623684472
0.5,3.0,-1.053343649397766,-0.8924769105434996,160.8667388542663,0.11696875496522958
0.5,4.0,-1.0139005163183465,-0.8588597237580897,155.04079256025682,0.08450451101576825
0.5,5.0,-1.002131363759216,-0.8485977039225137,153.5336598367023,0.0732844639246211
0.7,1.0,-1.1040748062365304,-0.895827297855042,208.24750838148842,0.060385254499603275
0.7,1.4,-1.1646077905879306,-0.9216351582023924,242.97263238553825,0.09935095635511267
0.7,2.0,-1.132588396556717,-0.8604325364885352,272.1558600681817,0.16729088288675628
0.7,2.5,-1.089306456224388,-0.8098361244332823,279.4703317911056,0.17357088326593825
0.7,3.0,-1.053343649397766,-0.7738241013475946,279.5195480501713,0.14554242549084226
0.7,4.0,-1.0139005163183465,-0.7386036512432663,275.29686507508023,0.11118635316276684
0.7,5.0,-1.002131363759216,-0.7260670464255203,276.0643173336956,0.10137415125551544
