# EDGA-QED: state=0 mode=genetic completeness=0.9915803236 n_det=17030 gen=2 n_ph_max=10
   0.497289387087896    0  4444411111  |0 1 2 3 4  |0 1 2 3 4 
  -0.243373089875154    0  4444111114  |0 1 2 3 9  |0 1 2 3 9 
  -0.243373082528296    0  4144414111  |0 2 3 4 6  |0 2 3 4 6 
  -0.237005886015324    0  4441441111  |0 1 2 4 5  |0 1 2 4 5 
  -0.237005882796425    0  4414411141  |0 1 3 4 8  |0 1 3 4 8 
  -0.236345822629824    0  1444411411  |1 2 3 4 7  |1 2 3 4 7 
   0.119283401070321    0  4144114114  |0 2 3 6 9  |0 2 3 6 9 
   0.116032096285097    0  4414111144  |0 1 3 8 9  |0 1 3 8 9 
   0.116032033536790    0  4141444111  |0 2 4 5 6  |0 2 4 5 6 
   0.114834623393179    0  1444111414  |1 2 3 7 9  |1 2 3 7 9 
   0.114834583555344    0  1144414411  |2 3 4 6 7  |2 3 4 6 7 
   0.112139290282843    0  4411441141  |0 1 4 5 8  |0 1 4 5 8 
   0.110363921349535    0  4114414141  |0 3 4 6 8  |0 3 4 6 8 
   0.110363881501702    0  4441141114  |0 1 2 5 9  |0 1 2 5 9 
   0.107336367705356    0  1441441411  |1 2 4 5 7  |1 2 4 5 7 
   0.107336366102041    0  1414411441  |1 3 4 7 8  |1 3 4 7 8 
   0.087662064062954    0  3442421311  |1 2 3 4 5  |0 1 2 4 7 
   0.087661927784094    0  2434411231  |0 1 3 4 7  |1 2 3 4 8 
   0.087657157321269    0  3424411321  |1 2 3 4 8  |0 1 3 4 7 
   0.087657056532266    0  2443431211  |0 1 2 4 7  |1 2 3 4 5 
   0.083512164552833    0  4443231112  |0 1 2 4 9  |0 1 2 3 5 
  -0.083511788513471    0  4324413121  |0 2 3 4 8  |0 1 3 4 6 
  -0.083508489632120    0  4234412131  |0 1 3 4 6  |0 2 3 4 8 
   0.083507864746263    0  4442321113  |0 1 2 3 5  |0 1 2 4 9 
  -0.055883398783968    0  1144114414  |2 3 6 7 9  |2 3 6 7 9 
  -0.054087739153089    0  4141144114  |0 2 5 6 9  |0 2 5 6 9 
  -0.054087627441216    0  4114114144  |0 3 6 8 9  |0 3 6 8 9 
  -0.052244209215077    0  4111444141  |0 4 5 6 8  |0 4 5 6 8 
  -0.052244085745525    0  4411141144  |0 1 5 8 9  |0 1 5 8 9 
  -0.052179523545597    0  1141444411  |2 4 5 6 7  |2 4 5 6 7 
  -0.052179473592834    0  1414111444  |1 3 7 8 9  |1 3 7 8 9 
  -0.049808154131097    0  1114414441  |3 4 6 7 8  |3 4 6 7 8 
  -0.049808114000457    0  1441141414  |1 2 5 7 9  |1 2 5 7 9 
  -0.048565501235080    0  1411441441  |1 4 5 7 8  |1 4 5 7 8 
  -0.045055309958668    0  3443421211  |1 2 4 5 7  |0 1 2 3 4 
  -0.045055296240067    0  2424411331  |0 1 2 3 4  |1 3 4 7 8 
  -0.045055289097327    0  2442431311  |0 1 2 3 4  |1 2 4 5 7 
  -0.045055274072345    0  3434411221  |1 3 4 7 8  |0 1 2 3 4 
   0.043103278772237    0  4224413131  |0 1 2 3 4  |0 3 4 6 8 
  -0.043103247734506    0  4443321112  |0 1 2 5 9  |0 1 2 3 4 
   0.043103192718682    0  4334412121  |0 3 4 6 8  |0 1 2 3 4 
  -0.043103139409639    0  4442231113  |0 1 2 3 4  |0 1 2 5 9 
  -0.042604281722127    0  2443421311  |0 1 2 4 5  |1 2 3 4 7 
  -0.042604244760012    0  3442431211  |1 2 3 4 7  |0 1 2 4 5 
  -0.042604240891545    0  3424411231  |1 2 3 4 7  |0 1 3 4 8 
  -0.042604201645493    0  2434411321  |0 1 3 4 8  |1 2 3 4 7 
